company_name,tagline,review_rating,review_count,country,region,region_code,employees,rates,phone,logo_img_link,company_link,founded_at
Net Solutions,"Mobile, Cloud, UX and Web Development Experts",4.8,9,India,"Chandigarh,",,250 - 999,$25 - $49,91.172.431.5000,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/198367_10150123104544429_7326097_n.jpg?itok=jV6ABsVd,http://www.netsolutionsindia.com/,2000
MLSDev,Building apps for your profit,4.9,10,Ukraine,"Vinnytsia,",,10 - 49,$25 - $49,+380975058161,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_500_opacity.png?itok=5kCqyu4X,http://mlsdev.com,2009
Spiralogics,Build your next generation application,5,3,,"Atlanta,",GA,10 - 49,$50 - $99,770.209.9596,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/spiralogics-logo.png?itok=BY45pE0O,http://www.spiralogics.com,2009
Zivtech,Illuminating Technology,4.9,4,,"Philadelphia,",PA,10 - 49,$150 - $199,2159222692,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/zivtech-logo_0.jpg?itok=GCQnxMpK,http://zivtech.com/,2008
Bluespark,Building amazing digital experiences.,4.9,3,,"Raleigh,",NC,10 - 49,$150 - $199,919.234.7576,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/bsp-logo-sqare-lt-blue-onblack_0.png?itok=CABFIhie,http://www.bluespark.com,2009
ImageX,Building a Smarter Web,5,2,Canada,"Burnaby,",,10 - 49,$100 - $149,778-785-1547,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/ixm-vertical-over-bright-300x262.png?itok=223_jFhn,http://imagexmedia.com,2001
Hashrocket,Expertly Crafted Web,5,3,,"Chicago,",IL,10 - 49,$150 - $199,312.436.0000,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/hashrocket.jpg?itok=aB2_4dGZ,http://hashrocket.com/,2008
Arke,Marketing Technology Consultancy,4.7,3,,"Atlanta,",GA,50 - 249,$150 - $199,404.812.3123,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/arke_web-244-01.png?itok=977InbQf,http://www.arke.com,2005
The Berndt Group,Always Thinking.,4.5,2,,"Baltimore,",MD,10 - 49,,410.889.5854,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/tbg_logo.gif?itok=luoYOBai,http://www.berndtgroup.net/,1991
netguru,We love to build Ruby on Rails based apps!,4.8,4,Poland,"Poznan,",,50 - 249,$50 - $99,48.884.382.983,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/netguru_logo_scalable.png?itok=OF3WOVs4,https://netguru.co,2008
Caktus Group,We Grow Sharp Web Apps,5,3,,"Durham,",NC,10 - 49,$100 - $149,919.951.0052,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/caktus-logo.png?itok=0CSsw72S,http://www.caktusgroup.com/,2007
Urban Insight,Drupal web development by trusted experts.,5,3,,"Los Angeles,",CA,10 - 49,$100 - $149,877-872-6150,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/_ui-color-vert.jpg?itok=FEEbmtgd,http://www.urbaninsight.com,1997
Four Kitchens,Big ideas for the web,5,3,,"Austin,",TX,10 - 49,$150 - $199,877.726.4210,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/4k-circle.png?itok=YeJNhF2m,http://fourkitchens.com,2007
Materiell,Award Winning Design | Enterprise WP Development,4.9,6,,"Arlington,",VA,10 - 49,$100 - $149,703.243.9207,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/materiell-mark.png?itok=ePudiASf,http://materiell.com,2009
Divio AG,Django & Python technology-driven creative company,4.8,4,Switzerland,"Zurich,",,10 - 49,$150 - $199,+41444801270,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-divio-s.png?itok=B5n-N86Q,http://divio.ch/en/,2001
Idyllic Software,We Think Like Us,5,3,,"Boulder,",CO,50 - 249,$50 - $99,303-408-3671,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/idyllic-logo.jpg?itok=XalePRFh,http://www.idyllic-software.com,2010
Taoti Creative,High-end Drupal Web Design,5,2,,"Washington,",DC,10 - 49,$100 - $149,202-546-8946,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/taoti_logo_for_twitter_-_265px_square.png?itok=_KSAWfjc,http://www.taoti.com,1996
Visuality,Open Your Mind.,5,8,Poland,"Warsaw,",,10 - 49,$50 - $99,4822.307.1205,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-visuality-poziom.png?itok=tVa8T8b1,http://www.visuality.pl/,2007
Swiss Commerce,App Development & Performance Marketing,5,1,,"Great Neck,",NY,50 - 249,$100 - $149,5163680201,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/swiss.jpg?itok=EaE1OZqT,http://www.scbw.com,2001
SteadyRain,"Internet Strategy, Design & Development",4.7,6,,"St. Louis,",MO,10 - 49,$100 - $149,314.446.0733,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/sr-logo_full.png?itok=DKuEh2gl,http://www.steadyrain.com/,1999
Drupal Connect,"Drupal Connect, Drupal and so much more.",4.7,4,,"New York,",NY,10 - 49,$100 - $149,646-684-3871,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/dc-logo-square.png?itok=H5OMQyN0,http://drupalconnect.com,2009
Quick Left,We craft outstanding web and mobile applications.,4.7,3,,"Boulder,",CO,10 - 49,$150 - $199,303.242.5536,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/quickleft_rgb_000000.png?itok=CxbwYcAy,http://quickleft.com/,2010
"JSC ""Arcadia Inc.""","Web, mobile and enterprise applications",4.9,3,Russia,"Saint-Petersburg,",,250 - 999,$25 - $49,+7 812 610 5955,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/arcadia_logo-03-800x600.jpg?itok=FbPsNK60,http://offshore-software.ru/,1993
Velocity Partners,World-leading Nearshore Software Development,4.7,4,,"Seattle,",WA,250 - 999,$25 - $49,425.454.2686,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/velocity_partners.png?itok=zi4Tcblo,http://www.velocitypartners.net/,2004
Annertech,Annertech builds big websites for serious clients.,4.7,3,Ireland,"Dublin,",,10 - 49,$50 - $99,+35315240312,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-annertech-a-clutch.png?itok=yflPszfA,http://www.annertech.com,2008
Vinsol,Transforming software dreams of brands & startups,4.5,3,India,"New Delhi,",,50 - 249,$25 - $49,91.11.4513.7031,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/vin_logo.png?itok=19g4Fdzj,http://vinsol.com,2000
Hudson Integrated Web Agency,Integrated Agency: Web. Mobile. Social. Search.,4.8,4,,"Saddle Brook,",NJ,10 - 49,$150 - $199,201.845.8700,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/icon-blue-gold_0.jpg?itok=0HBSEE6I,http://www.hudsonhorizons.com,2003
Palantir.net,We Create Engaging Online Experiences,4.4,4,,"Chicago,",IL,10 - 49,,773.645.4100,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/palantir.png?itok=Ay5lXR8S,http://www.palantir.net/,1996
philosophie,Usable | Beautiful | Meaningful,5,2,,"Venice,",CA,10 - 49,$100 - $149,310.314.0011,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/philosophie.png?itok=egrM7ZF6,http://gophilosophie.com/,2008
Perfectial,EMPOWER YOUR IDEAS,4.8,4,,"Wilmington,",DE,50 - 249,$25 - $49,800.274.6926,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/perfectial_square1.jpg?itok=ZGdjlIc9,http://perfectial.com/,2008
Qulix Systems,software development and testing services,4.7,3,Belarus,"Minsk,",,50 - 249,$25 - $49,+375 17 306 3868,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/qulix_logo_250_px_3.jpg?itok=jPiR74tz,http://www.qulix.com,2000
Promet Source,Building better business with Drupal.,5,2,,"Chicago,",IL,10 - 49,$100 - $149,773.525.8255,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/promet_source_vertical.jpg?itok=uC-pZISr,https://www.prometsource.com/,2003
FlatStack,We bring great products to life.,5,2,,"New Orleans,",LA,50 - 249,$25 - $49,888.499.9352,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/flatstack_0.png?itok=IYELXuGy,http://www.flatstack.com/,2005
Bright Interactive,"Software, applications and web development company",4.9,3,United Kingdom,"East Sussex,",,10 - 49,$100 - $149,+44 1273 923150,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/bi-ab-logo500.jpg?itok=8WUlVAp0,http://www.bright-interactive.com/,1999
Binary Studio,Set up a Dedicated Development Team with us!,4.7,5,,"Berkeley, Oakland,",CA,10 - 49,$25 - $49,510.701.8572,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/binary_studio.jpeg?itok=L_3PpzAn,http://www.binary-studio.com/,2005
Delphic Digital,Serious Digital Chops.,5,3,,"Philadelphia,",PA,10 - 49,$100 - $149,215.508.1800,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/delphic-logo-horizontal-small.jpg?itok=k3caokG-,http://www.delphicdigital.com,2004
Lunar Logic,We make your product come true.,5,5,Poland,"Krakow,",,10 - 49,$50 - $99,+48 12 430 22 88,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-lunar-horizontal-black-blue.png?itok=Kf_JC353,http://www.lunarlogic.io,2004
End Point,Web development company specializing in ecommerce,4.8,2,,"New York,",NY,10 - 49,$150 - $199,212.929.6923,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/ep_logo.png?itok=zMjYAUeP,http://www.endpoint.com/,1995
Pragmatic,Full-service WordPress Development,4.6,12,United Kingdom,"Brighton,",,10 - 49,$150 - $199,01273 613166,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/prag_tick_lg-01.png?itok=IHt-z-c-,http://www.pragmatic-web.co.uk/,2012
Last Call Media,Digital Experiences for Web and Mobile,5,2,,"Northampton,",MA,10 - 49,$150 - $199,888-788-7177,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-red_raster_web_0.png?itok=_PZQINkz,http://lastcallmedia.com,2009
Trigent,"Enterprise Product, Software &  Mobile Development",4.9,3,,"Boston,",MA,250 - 999,$25 - $49,877-387-4436,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/trigent.png?itok=ztwYecIs,http://www.trigent.com/?Source=Clutch,1995
GP software.travel,Travel Technology company,5,1,Germany,"Munich,",,50 - 249,$25 - $49,49.89.416.1523.30,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/gp_bright.png?itok=w42gzJlo,http://www.software.travel,2002
InternetDevels,Drupal & Symfony,4.7,3,Ukraine,"Lutsk,",,50 - 249,$25 - $49,+38 099 183 13 85,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/internetdevels.png?itok=wv0sfMw4,http://internetdevels.com/,2007
Human Made,Global WordPress development agency,5,3,United Kingdom,"Derbyshire,",,10 - 49,$150 - $199,44.1629.628082,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/humanmade.png?itok=Uv4x9yUE,http://hmn.md/,2010
Horizontal Integration,"Digital Marketing, Technology & Strategic Staffing",5,2,,"Hopkins,",MN,50 - 249,$100 - $149,612.392.7580,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/hi_logo.gif?itok=0AN5qCFy,http://www.horizontalintegration.com,2003
Meticulosity,Ecommerce Design Experts,4.8,6,,"Saratoga Springs,",NY,10 - 49,$100 - $149,518.488.4578,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/meticulosity_logo.png?itok=FsUmYbAh,http://www.meticulosity.com,2008
Digital Echidna,Essential services to harmonize your digital world,4.8,2,Canada,"London,",,10 - 49,$100 - $149,519-858-9604,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/echidna-3x3in-72dpi.jpg?itok=LA6ZeOg-,http://echidna.ca,1999
Dolphin Micro,Startup development and custom web/mobile apps,4.5,4,,"Louisville,",CO,10 - 49,$100 - $149,(888) 589-2194,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/social_media_logo.jpeg?itok=7juFxErC,http://dolphinmicro.com/,2008
vEmployee,Hire a dedicated team,5,2,India,"Pune,",,250 - 999,$25 - $49,800.902.6361,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/vemployee.jpg?itok=BsnzZock,http://www.vemployee.com,2000
Isovera,Drupal Solutions for Smart Organizations,4.5,3,,"Waltham,",MA,10 - 49,$100 - $149,781-547-8435,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/basecamp-logo.jpg?itok=XIRJFVfq,https://www.isovera.com/,2000
EDUCO Web Design,A Web Design Company that Draws out your Potential,4.9,7,,"Oak Park ,",IL,2 - 9,$150 - $199,708-613-0386,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_29.jpg?itok=OM8HVdD5,http://www.educowebdesign.com,2007
IDEGO GROUP,Delivering software. Making things great.,5,2,Poland,"Gdynia,",,10 - 49,$50 - $99,+48 501 029 448,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/idego-logo-pli.png?itok=xHwib2eu,http://idego.pl/,2009
Cocomore AG,Business Success in the Digital Age,4.3,2,Germany,"Frankfurt am Main,",,50 - 249,$50 - $99,+49(0)69 / 972.69.0,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/cocomore_ag.png?itok=O5G-2Ylz,http://www.cocomore.com/homepage,2000
Django Stars,World-class web & mobile apps development,4.8,7,Ukraine,"Kiev,",,10 - 49,$50 - $99,+380919281752,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/django_stars.jpg?itok=e7ekO_zS,http://djangostars.com/,2008
MojoTech,We build software that grows businesses.,5,2,,"Providence,",RI,10 - 49,$150 - $199,855.665.6832,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/mojotech_marker_2.0_0.png?itok=bW1vJFkX,http://www.mojotech.com,2008
Moove Agency,Innovative WordPress Agency,5,2,United Kingdom,"London,",,2 - 9,$150 - $199,44.0203.372.5696,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/moove_agency.png?itok=QYUrxdKm,http://www.mooveagency.com/,2010
Wholegrain Digital,WordPress design & development agency in London,4.5,7,United Kingdom,"London,",,10 - 49,$100 - $149,44.0207.112.8240,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-advert-large.png?itok=oRMmSW9U,http://www.wholegraindigital.com,2007
Future Processing,Great software… because we put People first,5,1,Poland,"Gliwice,",,250 - 999,,48.32.461.2300,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_fp_13.png?itok=i4RXkAgh,http://www.future-processing.com,2000
"Fuse IQ, Inc.",Better Web | Better World,5,2,,"Seattle,",WA,2 - 9,$100 - $149,206.788.4484,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/fuse_iq_logo_lg-no-address488x195.jpg?itok=6xntnMin,http://www.fuseiq.com,2001
ENGAGENCY,Give them what they want.℠,4.8,8,,"Austin,",TX,10 - 49,$150 - $199,888.303.7332,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/engagency_1.jpg?itok=t0Ss-Wrs,http://www.engagency.com/,2002
Alley Interactive,More Then Technology Experts,4.5,2,,"New York,",NY,10 - 49,$150 - $199,212.804.6623,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/alley_interactive.png?itok=sBEbj4SW,http://www.alleyinteractive.com/,2010
Elevated Third,We Make Digital Work,5,3,,"Denver ,",CO,10 - 49,$100 - $149,303.436.9113,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/e3_blue_square_logo_1.jpg?itok=h-wAnpbQ,http://www.elevatedthird.com/,2005
Cygnet Infotech,IT is about you,4.8,4,India,"Ahmedabad,",,250 - 999,< $25,91.79.3048.7400,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/cygnet_infotech.png?itok=F8VZVhzZ,http://www.cygnet-infotech.com/,2000
Duo Consulting,Your opportunities. Our talent. One team.,5,3,,"Chicago,",IL,10 - 49,$100 - $149,312.529.3000,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/duo_logo_blue_411x173.png?itok=YnaLPdcc,http://www.duoconsulting.com/,1999
Inclind,Enjoyable outcomes,5,3,,"Georgetown,",DE,10 - 49,$100 - $149,302.856.2802,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/inclind-logo-sq-em_0.jpg?itok=lcUHOLzD,http://www.inclind.com/,1999
Xibis,Custom Web & Mobile Application Development,5,1,United Kingdom,"Oadby, Leicester,",,10 - 49,$150 - $199,0116.272.9990,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/xibis_logo_blu_180px_wide_no_text.jpg?itok=Sk7NYVOf,http://www.xibis.com/,1998
Prograils,Our business develops your business.,5,2,Poland,"Poznan,",,10 - 49,$50 - $99,48.608310149,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/prograils_200_150.png?itok=kYQ9Acrg,https://prograils.com/,2012
Asahi Technologies,Scalable web applications to drive business growth,5,1,,"New York,",NY,10 - 49,$50 - $99,212-717-1812,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_800_0.jpg?itok=MKK5SPXN,http://www.asahitechnologies.com,2005
ISS Art,Custom software development,5,5,Russia,"Omsk,",,50 - 249,$25 - $49,7.38.1290.9808,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_iss_en_vertical_block-01.png?itok=3MUn8-Nz,http://www.issart.com/en,2003
ENDERTECH,Design Complete Solutions.,5,2,,"Torrance,",CA,10 - 49,$100 - $149,310.400.0800,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/endertech.png?itok=ZNKKl8Lp,http://www.endertech.com/,2000
R2integrated,Redefining the digital marketing agency,5,3,,"Baltimore,",MD,50 - 249,$150 - $199,410.327.2007,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/r2i_logo_mark_rgb.png?itok=-hrxIJ_2,http://www.r2integrated.com/,2003
New Bamboo,The UK's Leading Ruby on Rails Development Agency,4.8,2,United Kingdom,"London,",,10 - 49,$50 - $99,44(0)207.099.7486,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/new_bamboo.png?itok=6I0s1R4j,https://www.new-bamboo.co.uk/,2006
Orbit Media Studios,Friendly People with lots of Experience.,4.7,3,,"Chicago,",IL,10 - 49,$150 - $199,773.348.4581,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/orbmed.jpg?itok=wVymK_Hd,http://www.orbitmedia.com/,2001
Mobomo,Smart Apps for Smart Phones,4.7,5,,"Washington,",DC,10 - 49,$200 - $300,202.550.5982,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/mobomo.png?itok=JkolJj52,http://www.mobomo.com/,
Bop Design,B2B Website Design & Content Marketing,4.8,4,,,,2 - 9,,,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/bop_logo_2014.jpg?itok=Pee6BA8y,https://www.bopdesign.com,2008
VeriQual,Leading software developer for start up companies,5,2,United Kingdom,"Reading,",,10 - 49,$25 - $49,44(20)3290.3443,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/vq_logo_1.jpg?itok=iyU-OCbf,http://www.veriqual.co.uk,2004
Exygy,Software for the World's Leading Changemakers,4.2,3,,"San Francisco,",CA,10 - 49,$200 - $300,415.992.7251,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/exygy-logo-350x315.png?itok=LRy901aE,http://exygy.com/,2006
iterate,Dublin-based Web Agency,4.9,3,Ireland,"Dublin,",,10 - 49,$50 - $99,+353 1 524 1346,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/iterate.png?itok=Y-Qph9Dw,http://www.iterate.ie,2011
Level Level - WordPress agency Rotterdam,Specialized WordPress Design & Development,4.8,4,Netherlands,"Rotterdam,",,10 - 49,$100 - $149,31(0)10.842.9259,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/level_level.png?itok=TJtTmnSi,http://level-level.com/,2006
Rozdoum,Professional Software Development House,5,2,Ukraine,,,10 - 49,$25 - $49,+1 315 707 7517,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_2_2_1.png?itok=MxEO69N4,http://rozdoum.com/home.html,2004
42 Coffee Cups,Your solution to web and mobile development,4.8,2,,"Atlanta,",GA,10 - 49,$50 - $99,,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/42cc_logo.png?itok=h6Q_nmzM,http://42coffeecups.com,2007
DevMynd Software,Software designed for people.,4.5,2,,"Chicago,",IL,10 - 49,$150 - $199,773.492.0209,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo-glyph-only_0.png?itok=VTo7ReVh,http://www.devmynd.com/,2010
Modern Signal,Shining a Light on Web Development,5,3,,"Baltimore,",MD,10 - 49,$100 - $149,202-365-7367,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/modern_signal_logo_vertical.png?itok=kJq1ZKbx,http://modernsignal.com/,2001
Pieoneers,Smart Solutions for Web & Mobile,4.5,2,Canada,"Vancouver,",,10 - 49,$100 - $149,604.710.2407,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/pieoneers.png?itok=0zOI-AVZ,http://pieoneers.com/,2009
Shimshock Group,Strategic Partners in Growing Your Business,4.7,3,,"Austin,",TX,10 - 49,$100 - $149,512.994.0110,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/sg-logo-300x277.png?itok=_ja6Sqyi,http://shimshockgroup.com,2008
UpTop,UpTop - Where Your Business Belongs,4.9,3,,"Seattle,",WA,10 - 49,,,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/uptop_tagline_color_rgb_167px.png?itok=vN_GzTcf,http://www.uptopcorp.com,2000
Breakthrough Technologies,Comprehensive Web and Mobile Solutions,5,1,,"Evanston,",IL,50 - 249,$150 - $199,847.864.0033,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/bt-logo.jpg?itok=rYN9n5ya,http://www.breaktech.com,1997
nonlinear digital,Data-driven websites and marketing platforms,5,1,Canada,"Toronto,",,50 - 249,$150 - $199,416.203.2997,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/corporate-primary.png?itok=WS6epvap,http://www.nonlinearcreations.com,1995
LaunchPad Lab,We Build Apps That Grow Businesses,4.9,3,,"Chicago,",IL,2 - 9,$150 - $199,773.270.1033,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/lpl_logo_vertical_nobackground.png?itok=ZPRlj0xc,http://launchpadlab.com/,2012
Envision Creative Group,Building Living Brands,5,2,,"Austin,",TX,10 - 49,$150 - $199,512.292.1049,https://static1.clutch.co/sites/default/files/styles/logo_small/public/logos/envision2.jpg?itok=jw6cUiOa,http://www.envision-creative.com/,2001
Vizir,Software Studio,5,1,Brazil,"Sao Paulo,",,10 - 49,$25 - $49,55 (11) 3105-1897,https://static2.clutch.co/sites/default/files/styles/logo_small/public/logos/logo_134.png?itok=71troUwe,http://vizir.com.br/en/,2010
